id,name,artist_name,gender,Rank,Genre,ID_Verify,Dissonance,BPM,Key,Scale,Danceability,Pulse,List,Platform,Criterion,Randomiser
1165007,Our World,Modern Pitch,male,54,indie,1165007,0.44,104,D,major,1.06,0.036,Beat,Bin,N,007
457082,Upside Down,Dazie Mae,female,38,jazz,457082,0.42,110,A,minor,0.98,0.001,Beat,Bin,N,082
173087,Sparkling chandeliers,whynotme,male,104,punk,173087,0.30,120,C,major,1.07,0.296,Beat,Bin,Y,087
1426299,Igor Pumphonia - My Love Is Real,Igor Pumphonia,male,170,chillout,1426299,0.45,104,A,minor,1.34,0.103,Beat,Bin,Y,299
1114491,Stop and Stare,Luigi Talluto,female,17,house,1114491,0.45,128,E,major,1.03,0.100,Beat,Bin,Y,491
1375496,Whatcha Gonna Do,OUBEL,male,144,rnb,1375496,0.45,140,F#,major,1.26,0.037,Beat,Bin,N,496
9507,All Forgotten In The Dark Light,all:my:faults,male,118,metal,9507,0.46,110,C,major,1.18,0.063,Beat,Bin,Y,507
607627,Feel Your Body,"Rick Reed, Thanh Hung, Randall.(Gypsie) Hammond,  Mr. T, Michele Lloyd,Thao",male,4,blues,607627,0.47,134,A,minor,1.19,0.036,Beat,Bin,N ,627
1326638,Lie to Me,JuanGa,male,87,house,1326638,0.46,120,C,major,1.61,0.092,Beat,Bin,Y,638
992658,Stereo Time,Sunwill,male,30,rock,992658,0.45,132,E,major,1.13,0.072,Beat,Bin,Y,658
1317674,Suspended Highway,Jonah Dempcy,female,144,dance,1317674,0.39,121,C,major,1.01,0.005,Beat,Bin,N,674
374835,Get Up,LongTriggerMusic,female,60,electronic,374835,0.46,130,A#,major,1.57,0.080,Beat,Bin,Y,835
1238881,dj cheeps vs Run Ibart vs Galleon rmx decadance,dj cheeps,male,152,electronic,1238881,0.45,120,F,minor,1.21,0.316,Beat,Bin,Y,881
1413890,Intuition (feat Kate Wild),EJAY IVAN LAC,female,118,filmscore,1413890,0.40,120,F,minor,2.21,0.018,Beat,Bin,N,890
260926,Little City We Live In,Heet Seas Kink Drop,male,87,punk,260926,0.48,122,B,minor,1.45,0.136,Beat,Bin,Y,926
,,,,,,,,,,,,,,,,
id,name,artist_name,gender,Rank,Genre,ID_Verify,Dissonance,BPM,Key,Scale,Danceability,Pulse,List,Platform,Criterion,Randomiser
1165006,All Your Body Moving,Modern Pitch,male,1,indie,1165006,0.45,130,E,major,1.05,0.031,Beat,GUI,N,006
1182014,Only Breaking - DJ Souchy,Souchy,male,110,electronic,1182014,0.46,127,F,minor,0.99,0.099,Beat,GUI,Y,014
662058,Making Faces,JoosTVD,male,25,latin,662058,0.44,119,D,major,1.14,0.061,Beat,GUI,Y,058
1501089,Bluemillenium_-_A_Moment_of_Clarity,Bluemillenium,female,41,filmscore,1501089,0.45,120,A,minor,1.31,0.126,Beat,GUI,Y,089
1032157,Tramp,Kassy Key &amp; the Raindoggs,male,119,blues,1032157,0.45,100,A,minor,1.13,0.036,Beat,GUI,N,157
734283,Walkin' down the street,Slap Stick,male,23,blues,734283,0.45,128,A#,major,1.23,0.033,Beat,GUI,N,283
1371331,soulmate 2016 remix,Robert80z,male,104,house,1371331,0.40,125,G,minor,1.63,0.117,Beat,GUI,Y,331
168640,Invisible Walls,D1sh1tu,male,85,electronic,168640,0.47,120,G#,major,1.51,0.104,Beat,GUI,Y,640
1487648,Reminisce feat. Blends.One &amp; Chemist (Prod. Blends.One),El J,male,7,hiphop,1487648,0.46,142,C,major,1.26,0.033,Beat,GUI,N,648
1377691,This Eternity,London Sadness,male,25,electronic,1377691,0.48,130,A,minor,1.31,0.070,Beat,GUI,Y,691
374845,Lost And Blue,LongTriggerMusic,female,19,house,374845,0.41,127,G#,major,1.35,0.121,Beat,GUI,Y,845
1167871,Recall,Kara Square and Piero Peluche,female,86,reggae,1167871,0.45,130,D#,minor,1.06,0.078,Beat,GUI,Y,871
1177892,Long Enough,Michael Ellis,male,100,rock,1177892,0.45,122,D,major,0.99,0.038,Beat,GUI,N,892
520924,Future Remix  ,Kellee Maize,female,131,dance,520924,0.46,130,C,major,1.32,0.093,Beat,GUI,Y,924
894975,all-eyes-open,VANDA.,female,33,rock,894975,0.39,135,C,major,0.97,0.040,Beat,GUI,N,975
,,,,,,,,,,,,,,,,
