id,name,artist_name,gender,Rank,Genre,ID_Verify,Dissonance,BPM,Key,Scale,Danceability,Pulse,List,Platform,Criterion,Randomiser
162024,Heritage Place,Josh Woodward,male,73,rock,162024,0.37,109,D,major,0.87,0.029,Gym,Bin,N,024
1500037,California Winter (Zep Hurme Mix),ccMixter,female,139,reggae,1500037,0.47,120,F#,major,1.88,0.056,Gym,Bin,Y,037
1466087,It Ends Tonight,Open Source,male,97,electronic,1466087,0.44,129,G#,major,1.43,0.097,Gym,Bin,Y,087
1328161,"Seriously, What's the Rush ?",Heifervescent,male,67,indie,1328161,0.42,105,G,minor,0.93,0.026,Gym,Bin,N,161
1341171,Love for Everybody,J.O.R.B.I,male,117,dance,1341171,0.46,124,A,minor,1.59,0.083,Gym,Bin,Y,171
1370172,Until the end,SAKTO,female,60,jazz,1370172,0.44,120,A,minor,1.02,0.052,Gym,Bin,N,172
1207175,Touch me,PAKO,female,180,electronic,1207175,0.48,126,F,minor,1.38,0.047,Gym,Bin,Y,175
363183,Like Making Love (Sin Mix),Ensono,female,15,house,363183,0.46,125,C,major,1.54,0.050,Gym,Bin,Y,183
311386,Toys,Sever,male,68,metal,311386,0.48,85,C#,minor,1.00,0.052,Gym,Bin,N,386
665437,walking in-SESTO SENSO RMX.,Pbmatrics,female,151,electronic,665437,0.45,129,A,minor,1.34,0.062,Gym,Bin,Y,437
1319504,Round and Round,Niki J Crawford,female,111,rnb,1319504,0.44,140,G,minor,1.35,0.069,Gym,Bin,Y,504
189541,Meat People,The MARXMALLOWS,male,137,punk,189541,0.48,120,F#,major,1.03,0.031,Gym,Bin,N,541
1439589,Coming Out (Black Jewel Vox Mix) - (The Diventa Project),Mazelo Nostra,female,20,chillout,1439589,0.44,100,E,major,1.45,0.058,Gym ,Bin,Y,589
830772,Bigger Things,JoosTVD,male,20,jazz,830772,0.44,95,D,major,1.33,0.068,Gym,Bin,Y,772
309784,Latin Fever,Juanitos,male,65,latin,309784,0.47,106,A,minor,1.36,0.035,Gym,Bin,Y,784
1214847,Estado Del Revolver,Quad,male,0,latin,1214847,0.39,100,F,minor,0.98,0.066,Gym,Bin,N,847
607863,Bluesbastard,6killer,male,69,latin,607863,0.47,108,B,minor,1.03,0.037,Gym,Bin,N,863
101893,Akibahara,cedric,male,13,ambient,101893,0.47,130,A,minor,1.34,0.053,Gym,Bin,Y,893
1258976,Liquid Blue,The.madpix.project,male,13,house,1258976,0.48,128,D#,minor,1.43,0.100,Gym,Bin,Y,976
1481995,On This Road 2017 Remix,Robert80z,male,84,country,1481995,0.45,127,C,major,1.90,0.027,Gym,Bin,Y,995
,,,,,,,,,,,,,,,,
id,name,artist_name,gender,Rank,Genre,ID_Verify,Dissonance,BPM,Key,Scale,Danceability,Pulse,List,Platform,Criterion,Randomiser
1017062,Bionic,Heifervescent,male,23,indie,1017062,0.48,130,D,major,1.07,0.057,Gym,GUI,N,062
1351139,Cooking With Attitude,Not From Georgia,male,17,country,1351139,0.46,120,E,major,1.34,0.045,Gym,GUI,Y,139
1344204,Too Hot,Robert80z,female,190,filmscore,1344204,0.45,120,G,minor,1.73,0.079,Gym,GUI,Y,204
1377206,Shake That feat. Doxamillion &amp;Trooth,Demo Delgado,male,199,dance,1377206,0.47,96,G,minor,1.81,0.033,Gym,GUI,Y,206
1145221,special-disease,Abrids,male,85,indie,1145221,0.48,120,B,minor,1.00,0.040,Gym,GUI,N,221
1428264,Dancing of the Night (Remaster),J.O.R.B.I,female,130,dance,1428264,0.48,125,A,minor,2.17,0.027,Gym,GUI,Y,264
1223290,keep on dance,Felixjd,female,53,house,1223290,0.47,125,F,minor,1.60,0.103,Gym,GUI,Y,290
1517423,Money,The Underground Collective,male,161,hiphop,1517423,0.41,130,E,major,1.33,0.052,Gym,GUI,Y,423
1343434,Ibiza Clubnight,Mazelo Nostra,male,26,dance,1343434,0.46,128,D,major,1.61,0.112,Gym,GUI,Y,434
1331553,Stay_away_chillout_remix_(feat_Sanna_Hartfield),Liquid Frame,female,40,chillout,1331553,0.44,130,A,minor,0.97,0.065,Gym,GUI,N ,553
661610,Desertfly ,JoosTVD,male,83,latin,661610,0.45,120,A,minor,1.30,0.062,Gym,GUI,Y,610
69637,Come With Me,Danforth,male,64,metal,69637,0.49,99,D,major,0.82,0.030,Gym,GUI,N,637
153654,Electroshop,WEXIN,male,159,electronic,153654,0.45,127,D#,minor,1.40,0.086,Gym,GUI,Y,654
78727,Effortless,Josh Woodward,male,57,rock,78727,0.45,120,F#,major,1.03,0.040,Gym,GUI,N,727
1278743,Dont Beg,The.madpix.project,female,22,house,1278743,0.45,128,A,minor,1.39,0.079,Gym,GUI,Y,743
1387749,Blue,Brady Harris,male,153,jazz,1387749,0.44,78,A#,major,1.01,0.049,Gym,GUI,N ,749
309783,Do The Cobra,Juanitos,male,84,latin,309783,0.47,107,A,minor,1.80,0.033,Gym,GUI,Y,783
1177890,Deep Down,Michael Ellis,male,99,rock,1177890,0.45,100,E,major,0.96,0.031,Gym,GUI,N,890
674903,look at you,Pbmatrics,female,146,house,674903,0.45,129,G,minor,1.69,0.064,Gym,GUI,Y,903
1081982,Monkey Sax,Monkeyman,female,36,dance,1081982,0.48,128,C,major,1.59,0.062,Gym,GUI,Y,982
